,full_text,assoc_shooter,weeks_after
35860,aurora theater massacre had   generations  watching a movie  it s time to do something about     ,0,2
35861,big win in the fight to end    signs  to prevent  at schools     ,0,2
35862,cdc says 93 people die each day from gunshots   is ,0,1
35863,calling long time   is a slap in the face to the victims of      catastrophic ,0,3
35866,can t you hear the children scream     ,0,1
35867,check out this panel at  tomorrow  ending the  epidemic  the role of funding collaboratives  w   and ,0,3
35869,dear   how  is likened to  in a community  a  data model   ,0,1
35871,dr  steve hargarten of mcw  on public health crisis that is gun violence       ,0,1
35874,from  to the  pipeline  there are a lot of   join us 10 30 at 2pmet to talk abt how to create change   ,0,3
35875,how gun laws should work in the usa         ,0,1
35876,hey  thanks for the follow we ll demand    address  via  ,0,3
35877,honest question  is the answer to our  to always bring along an armed detail to public places  or do tackle this another way ,0,2
35878,horses gonna shadow orchids is green the moon should be ugly is my catchphrase  ,0,1
35880,how many people have to die before the usa realises how outdated the second amendment is and needs major reform  ,0,1
35881,i hope my university paper doesn t censor this one          ,0,3
35882,i make  look cool         ,0,1
35883,i take comfort in the words of  whose resolve to  of  is what we need right now    ,0,1
35884,if everyone only had common sense     no indiv should be able to buy an assault weapon ,0,1
35885,ignorance is notthe answer    ,0,1
35887,it s disgraceful   will talk about mental health b4  when the inly thing we know is  ,0,1
35888,i m starting to suspect he may be making empty promises       ,0,1
35889,join    demand our country take action to address   ,0,1
35890,kathy shorr s portraits of  survivors are images of people healing with hope     ,0,4
35891,let s be clear  talking abt  today is not dem rep blame  it s time for all parties 2 pass common sense  enough,0,2
35892,ma nord talks about how the tentacles of  have a grip on our society  come together  meetup    ,0,3
35893,makes you think          ,0,2
35894,more   florida mall shooting  second victim dies after being shot by fired trainer   fox news  ,0,3
35895,now  of  on    ,0,4
35899,our paper li on twitter s  prevention advocates paper li is out    stories from  ,0,3
35901,our thoughts are with rep  steve scalise and all those affected by the  at a va baseball field today   ,0,2
35902,per   now s not the time to talk   after hurricanes not time to talk   can we discuss climate now ,0,1
35904,rule no  1  don t let mass shootings eclipse daily  in mindshare and policy prescriptions   ,0,4
35907,safety lessons from spree killers  from  09      ,0,2
35908,save your    do something  anything to end   my wife is a teacher in san bernardino county   this must end ,0,3
35909,the hidden epidemic of firearm injury  increasing firearm injury rates  2001 2013  a    ht   ,0,2
35910,the one thing jimmy kimmel got wrong about the las vegas shooting        ,0,2
35911,the partisans working together  thankgod  republicans open to banning  bump stocks  used in massacre  ,0,1
35912,the right to own or use firearms a legal right created by the   it is not a natural or moral right    ,0,2
35913,these photos show the devastating toll of  on families and communities    ,0,2
35914,this is a heartbreaking testimony  no one should have to experience this   ,0,1
35917,we might need  because of    for the love of    we must        ,0,3
35921,working on the  trailer while listening to the great  and bossmobbboyz crew    ,0,1
35922,new report   10 4 17 georgia bowman 1 1   via     ,0,1
35923,new report   darius hobson   via     ,0,2
35926,report     via  ,0,4
35927,stop  we need  in the usa  ,0,1
35928,the research ban   restrictions that prevent the  from conducting      ,0,2
35929, that is the society the gun lobby is working toward  is it the one americans want        ,0,2
35930, follow this flowchart and you ll be ready to shape public opinion in no time       ,0,4
35931, moving on to today     as if three deaths to  fueled by  is something you just move on from  ,0,3
35932, the effective solutions exist and are simply not being funded or supported         ,0,2
35933, we have an obligation to act with greater outrage and urgency      on chicago s worsening   ,0,4
35934,   was in  is because of  but let s not  about it  now is the time to talk   ,0,1
35937,   the link bt     is staggering   city atty mike feuer joins the  summit on tues to highlight    ,0,4
35938,  1 516 mass shootings in 1 735 days  america s gun crisis   in one chart  ,0,1
35940, wants congress to take up those armor piercing bullets and silencers once america has moved on from another act of   ,0,1
35942, in my   too much something needs to change   needs to stop       act 64433 ,0,1
35944,      victims  blood  deaths  injured is all on your hands     ,0,1
35946,  a beautiful  brave testimony  thank you for all you do against    for america ,0,1
35947,  shares how  s initiatives can help everyone prevent  on  s podcast   ,0,2
35948,2urge  4   is like prescribing bandaids4cancer   train kids in guns in school a la driver s ed   ,0,1
35949,9 shot in lawndale   this is just the city we live in    chicago sun times   ,0,2
35951,  is an owner of a small rifle manufacturing business    what else do you expect he supposed to say   ,0,1
35953,  weapons are already being used against us    ,0,2
35954, too bad there arent any viable research numbers about  to back up your claims  you know with the  forbidding it,0,1
35957,  many  many  more american lives will be lost if we keep selling guns to the mentally unstable  safety over  profits     ,0,2
35958, he apparently had 10 guns in his hotel room    ,0,1
35959,       use of firearms in terrorist attacks  ,0,1
35962,a woman is shot by her partner every 16 hours   is a women s issue       ,0,3
35963,air most viewed videos from 2016 include those on      programs    ,0,1
35964,absolutely right  between  and   americans are doing a far better job of killing americans than any  organization  ,0,2
35965,america s unique gun violence problem  explained in 17 maps and charts     ,0,1
35966,another senseless shooting  we need common sense gun laws now      ,0,2
35967,aren t we all       ,0,1
35970,big win  federal appeals court rules ban on assault weapons does not violate 2nd amendment     ,0,3
35972,coming your way  3 minutes  via filmfreeway     ,0,2
35973,common sense talk about our shameful inability to address the public health crisis that is gun violence      ,0,1
35975,congressional staffers refuse to put gun free zone signs on their property     ,0,2
35976,congressman john lewis on  all 3 of his autobiographical civil rights graphic novels march reviewed     ,0,1
35977,diseases that require reporting to cdc threatening public health safety  not 1 mental health diagnosis to prevent  or suicides  ,0,1
35982,for me the worst part is the sense of inevitability now when it happens  rather than the shock this insanity should engender ,0,1
35983,good grief   20 slaughtered school children didn t guilt  to  unify  against  but shooting a congressman will ,0,2
35984,good guy with a gun which never happens according to   shannon watts   mike bloomberg   ,0,1
35985,hey  thanks for the follow we ll demand    address  via  ,0,2
35986,hmmmmmm  this tweet didn t age very well           ,0,2
35988,how did the son know the combination to the gun case     ,0,4
35989,idiots not members of the present us gov t  0    ,0,3
35990,if your shocked by  you re not paying attention   a daily cancer in     are to blame  ,0,1
35992,join    demand our country take action to address   ,0,1
35993,join    demand our country take action to address   ,0,1
35994,millions of americans have lost loved one to other americans due to   how about showing them   ,0,4
35995,mass shootings an inevitable part of american life  second amendment trumps human lives     ,0,2
35996,may god help all victims of   ,0,2
35997,missed last night s  matters on the impact surviving  has on kids and teens  listen here      ,0,2
35999,new rule  if  trump talks about  violent crimes  and doesn t address   ignore the buffoon    ,0,1
36000,news flash  we on the left have our own nut jobs w guns    you d think r s would want to talk  now   ,0,2
36001,our paper li on twitter s  prevention advocates paper li is out    stories from  ,0,1
36002,political parties are red violet babys breathes is darkred moons would be delectable is what i say   ,0,1
36003,repetitive bots gonna cornflower roses wanna be like dodgerblue sweet raps are mental said me   ,0,2
36005,shoot tubes  not people   unite against        ,0,2
36006,sign petition to tell  to not award  for his cruel comments about  victims   ,0,4
36007,so  haven t heard from you about the hate crime killing in kansas   ,0,3
36008,sorry folks   you won t see trump or ryan speak about this one    ,0,2
36010,this came our last week   in american culture   thanks     ,0,1
36011,unsung     since  in  2 738 have been shot 840 killed no      ,0,4
36012,westchester voters   if you re concerned about   vote   1   a letter to remind you what the gun lobby     ,0,1
36016,week passes without any homicides in  for first time in 5 years   via  ,0,4
36017,what does alex jones have to about the shooting this morning of a member of congress  staffer and capitol police officers  ,0,2
36018,when people say  don t politicize this  what they are really saying is  i have no rational reasoning for the way i feel   when i politician says it they are saying  i get paid to pretend you are wrong even though you really aren t      ,0,1
36019,where you can t even go to a concert or festival without fearing for your life    ,0,1
36023, there is a    kids corner  page that featured photos of its guns being fired by tykes and cradled by babies     ,0,1
36024,but it s london that s  still reeling     ,0,1
36026,new report   jason cooper   via  ,0,4
36027,no technology is neutral  guns are for killing people      ,0,2
36028,  is a public health crisis that affects every community        ,0,1
36029,   we listening    nah  we ll wait till another mass shooting somewhere on this planet  ,0,4
36031, man who shot 16 year old boy over  4 sentenced to 20 years in prison       ,0,1
36033, lawful gun owner ends manhunt  ,0,2
36034, is a  issue   what bullets do to bodies  ,0,2
36035, is the  created   sustained   but as long as  people want  there will be     ,0,1
36038,  58 candles  ,0,1
36041,  don t  stamp any more murders  help stop senseless deaths  must stop  ,0,2
36042,  advances progress on  intervention programs   ,0,1
36045,3 weeks since    2500 more lives lost 2   today would be good day to discuss    ,0,4
36046,7 663 people have been killed in the  by the out of control  as of 7 02 2017  is silent  pathetic ,0,4
36047,93 americans die every day in america as a result of    more so than what terrorists do to us on our soil  ,0,1
36048, could have been worse    could have been another shooting of school children    ,0,2
36049,    already illegal  explain why or how more laws will prevent   ,0,2
36051, again  it s clear to me that you don t give a shit about victims of  so  have a nice day ,0,1
36052,   ctproud     never again    not my state    ,0,2
36053, thanks to all members of the   your efforts are     really paying off            greatjob         ,0,1
36054, per    getting shot is your fault  you should ve taken precautions   gotten smaller   ,0,1
36056, can we talk about  now   or should we wait for  to tell   the  was all a hoax too ,0,2
36057, collection brings together research from orgs working to understand full impact of  in us  ,0,2
36058,   i m a democrat   i m anti trump   i absolutely condemn actions of james t  hodgkinson    my thoughts r w  victims     ,0,2
36059,    is out of control   ,0,4
36061,a shooting in alexandria brings gun violence directly to those best situated to act   effects everyone    ,0,2
36062,a very sane decision  florida doctors may discuss guns with patients  court rules    ,0,2
36063,after horrific   says we re going to continue on as normal    that after  leaders think things r normal  ,0,2
36064,amazing  the amount of death threats to our congress  i reaaalllly don t agree with republicans  but i would never advocate ,0,2
36066,can you believe the  leadership  praying for the injured   not speaking against      amen    keep leading us   ,0,2
36067,congress needs to act for  to prevent more  if not  we continue to feel all these things     ,0,1
36068,dear congressional representatives      do something to actually protect constituents    ,0,1
36070,fuck the moment of silence  it s time to be loud and clear  it s time to address   ,0,1
36071,gop lawmakers introduce  wild  wild west  gun bill  new  choice proposal      ,0,1
36072,getting ready for town hall w    and  mayor martin about      ,0,2
36074,had a great conversation today with friends about  in america  why not require gun owners to have insurance  that would limit ubiquity of guns ,0,4
36075,hey    please let us know when it is the time and place    ,0,1
36076,how do you expect to win an argument when you can t even define the topic properly       no such thing   cause ,0,1
36077,icymi    dean  s newest piece on  for    ,0,1
36078,in today s    raises her voice about  and hopes you will do the same   ,0,2
36083,live tweeting beyond  conference sponsored by nc council of churches and others in chapel hill today  ,0,4
36084,mental illness doesn t discriminate by party lines   is an epidemic in this country    our country  we must      ,0,2
36089,not sure why saving a life by asking is an issue   is taking way too many of our kids lives   ,0,3
36090,once america decided killing children was bearable  the debate was over    ,0,1
36091,only when we    vote out  who vote 4 nra agenda can we change trajectory of  in u s     ,0,2
36092,our thoughts   prayers are with the injured people        ,0,2
36094,ready to  about     yet america  or are you cool with school shootings    ,0,3
36095,remember when they said it was  to talk about   shooting reported in baltimore business park    ,0,3
36096,report his race  report his criminal history  report his religion     ,0,2
36098,sarah sanders  tears don t mean a damn thing unless actions accompany    ,0,1
36100,the     a church held a  stop the violence  event today  how they think it ll reduce  at 11p on   ,0,2
36101,the  editors pen an editorial about gun violence  a healthcare crisis      ,0,4
36102,the latest the msu preprofessional daily    thanks to  ,0,1
36103,today s  is shannon watts  founder of  action for gun sense in america       ,0,1
36104,truly worth your time to read        ,0,1
36105,video  photos    story   about a local man  shot in face  reflecting on  s    ,0,3
36106,when the  blames mental illness for   then pushes for congress to allow those with mental illness to own guns      ,0,4
36107,when we finish a  lets start    start  stop      ,0,1
36108,where is the outrage here  this is a huge crisis for our country  we should demand a dialogue    ,0,1
36109,why we should politicize  like the     ,0,2
36110,wow  stay safe    3  shot inside bronx lebanon hospital center   ,0,4
36111,you are almost as likely to be killed by a gun in the us as you are in a car accident  let that sink in for a moment  ,0,2
36112,and from march 30   ,0,3
36114,new report     via     ,0,1
36115,new report   10 13 17 ohio westlake 0 2   via  ,0,4
36117,new report   anthony bailey   via     ,0,2
36118,  is not prolife  people in  r dying  you end 45 yrs of    fuel rampant   bring on 2018   2020  ,0,2
36119,    it s harder in new mexico to get a driver s license than a gun    via ,0,1
36121, what can you do to help limit gun violence personally  buy a safe   lock up your firearms stolen weapons are a problem,0,1
36123,   get small   in response to question about random ,0,1
36125,  on    download at        ,0,1
36128,   for    congress should allow funding of lifesaving  research  ,0,3
36129,   more than just saying anything  i promise to continue working to fight against     ,0,1
36130,2 weeks since the deadliest mass shooting in us  history in    radio silence about   now s the time for  ,0,3
36131,7 children are killed with guns in the us every day  learn more about the  epidemic on our blog   ,0,1
36132,93 people will die in the us today of     pass   ,0,2
36133, when will scalise speak out about      ,0,1
36136, member  panelist at  lunch on  in ,0,3
36137, if today isn t the day to talk about   please tell us what day is that day   ,0,1
36138,     no    using various weapons  guns  knives  box cutters  fertilizer  trucks  cars  planes   ,0,1
36139, gun control is racist   ,0,2
36140,     please stop accepting  ca h   reconsider protecting future    s of     ,0,3
36141,    nothing  dead people don t count unless they re killed by a  muslimterrorist    ,0,1
36142, but by all means  keep trying to ban muslims        ,0,2
36143, remember this     ,0,2
36145,  yes   gun safety  not gun suppression as  campaigns in every single election      ,0,1
36146,a   described as  at   let us not take sides but action against ,0,2
36148,a snapshot of very real  that takes place every day  not just affecting certain areas  but all south africans  ,0,1
36151,and don t tell me you are pro  blue lives  if you aren t pro common sense gun laws   working toward mental health care for all    ,0,1
36152,angry violent person   lethal weapon   tragedy  no different at ups shooting 2 wks ago  stop   ,0,4
36153,arthur frommer   is costing us thousands of  jobs and billions of dollars      ,0,3
36154,as we console family and friends of victims of   we must resolve to end its horror  no phony gestures   ,0,2
36155,astonishing stats   we must act now   for less   ,0,1
36157,child  impacts more  annually than        inequality   the mortgage crisis combined   ,0,3
36160,far many more than all those terrorist refugees we keep hearing about      ,0,3
36162,good example of how we can use  to create  mt  want to fix  in   go local  ,0,1
36164,hey  and all you     ,0,1
36165,i think this speaks volumes      ,0,1
36166,i wonder what horrors americans know of  that we don t  that makes everyone dying from being shot seem safe in comparison  ,0,2
36167,if you are disgusted by    your rep is on this list  you have the power to change it  it s called your vote   ,0,1
36169,it way passed time       ,0,1
36171,leaked  trump speech   i ll reveal my plan to defeat  in 30 days if re elected in 2020  have a good time ,0,1
36172,last thing i ll say about  today   i m  not  against my fellow u s  citizens having guns  my beef is     ,0,1
36174,middle school vice principal  teacher victims in  double murder suicide    ,0,4
36175,my perspective on the crime in chicago   a must read          ,0,2
36176,open access article on pedi gun injuries pecarn data available through 7 31 here        ,0,4
36177,pragmatic ideas for reducing      ,0,1
36178,proud to stand with community leaders  fellow city residents   local students to show our strong  collective voice against    ,0,4
36179,rip my friend  blows  ,0,1
36180,shit sandwich  combo platter special served up steaming hot 24 7  and  and      ,0,4
36182,so let me get this straight  automatic weapons are illegal  automatic accessories are legal     crickets      ,0,1
36183,so proud of my mom  representing  at  hearing on     ,0,4
36185,the association between urban tree cover and gun assault  a    ht   ,0,2
36187,the presence of a gun during a  altercation increases risk of murder by 500    ,0,1
36189,this sunday 2 19 17   ,0,2
36190,this is the real terrorism  another mass shooting  this time at a hospital  stop    ,0,4
36191,this is what  looks like  this is real news   this is a huge part of the problem     2    ,0,2
36192,this song is for all the cities everywhere that experience   ,0,1
36194,update  suspect had 20 guns in his room  had made massive gambling transactions in the days leading up to       ,0,1
36195,when tragedy happens policies and politics have room   prayers for    others injured  i wish all a speedy recovery ,0,2
36196,when we talk about  let s talk about how flint mich still doesn t have clean water ,0,1
36197,why are  deadlier in some  than others         ,0,3
36199,yesterday s hot topic        ,0,2
36201,new report     via     ,0,1
36202,new report   joanna beagle   via  ,0,1
36203,new report   timothy j george   via     ,0,1
36204,report     via     ,0,1
36205,report     via     ,0,1
36207, gun shares up    by martin bailes         ,0,1
36208, the largest group of people in my jail are people without means  poor  mentally ill  not criminals     ,0,2
36210, supporter uses   i wonder how many  types will try to blame  for this  ,0,2
36212,       mourns  of  senseless      ,0,1
36213, survivor megan hobson courageously shares her story    ,0,4
36214, encourages all to attend the ava forum on  and  sat  oct 7   this is especially     ,0,1
36216, threatens to  send in the feds  to stop      ,0,3
36217, panels hang at life art studio   cultural center in medford  oregon  prevent      ,0,3
36219,    st  mark s church in the bowery  ,0,4
36222,   congress has had several months of doing very little   but she again says not the time to talk about  ,0,1
36224,  sharing victim s stories will wake more people up to the real crisis we have in  and with  ,0,1
36227,    wakeup u have an extremist for a so called president spewing division   also 93 die everyday  from ,0,3
36228, my 2yr old held a candle light vigil  last night to  protest     ok  so it was a bottle ,0,1
36231, and you  are the voice we need for in the battle against   thank you   ,0,2
36232, you should know better   restrictions are necessary    ,0,1
36233,  in america isn t the answer anymore but peace and healing comes first    ,0,1
36234, please ask them when you can schedule the discussion to talk about  book a time ,0,1
36235,  wats wrong wth u pple   no longr hav u s on my bucket list   open ur eyes   i wont b th only1   ,0,1
36236,     republicans couldn t care less  they are owned by the  they don t give a damn about  ,0,2
36237, please  please  dear god  please  do something to control ,0,1
36238,a gop strategist clearly realized you can t deflect blame for  on mental illness when trying to take away people s healthcare  so just label it as  evil   in 2017 we re back to  the devil made me do it ,0,1
36239,another shooting   senseless violence tradegy in the us   is a bi partison issue  beyond time for common sense  laws   ,0,2
36240,at my local  checkout  too soon to discuss  but okay to display this    ,0,1
36243,brady campaign challenges trump to  debate   ,0,1
36245,chicago mayor welcomes help  warns against deploying troops     ,0,4
36249,film producer and writer  shares his stance on ending  in america     ,0,2
36253,good letters to the  on  that  should read  we need to have a national conversation about this   ,0,1
36254,great piece from      wa showing what progress on  prevention looks like    ,0,1
36256,gunman made threats in instagram post against woman he killed     ,0,1
36257,hey  thanks for the follow we ll demand    address  via  ,0,3
36259,how japan has almost eradicated gun crime       ,0,1
36260,how are researchers starting to investigate  as a  issue   via      ,0,1
36261,how come your right to a gun is worth more to you than ppls lives       ,0,1
36262,i am saddened by yet another  at    my most sincere condolences to their grieving families ,0,1
36264,i never got the windows in my house fixed after the shootings   when i see the bullet holes i am reminded of my mission to end  ,0,1
36265,i m a  of    my bf has  we can t lose our  when i think of the people who will  it makes me   ,0,1
36268,in one year  at least 30 000 guns were  lost  out of gun dealers inventories   ,0,1
36269,in order to reduce  from mentality ill americans  all registered democrats need to have their guns taken away   ,0,2
36270,in other words   kills more kids than cancer or birth defects   ,0,2
36272,it finally hit home when one of them is the victim of    now will they actually do something       ,0,2
36273,it s obscene  american children 14x as likely to die from guns vs other developed countries  stop      ,0,1
36274,it s time for the us to grow up where  is concerned  be part of the solution  11 11,0,1
36275,join me now on facebook live for  anniversary of   sit in for action on   ,0,3
36277,man shot in new orleans east carjacking       ,0,3
36279,or at least curb it  republicans in congress won t even do anything to curb   let alone end it    ,0,2
36283,prayers after columbine didn t stop sandy hook  orlando or   time to stop praying and do something about ,0,1
36284,radical pro gun legislation has no place in a country where 100 people die from  every day   ,0,2
36285,registration for the  symposium ends friday  join us for this important discussion on keeping kids safe   ,0,4
36286,reminder  trump fears terrorists  but more americans are shot dead by toddlers     ,0,1
36288,sad truth is that media coverage of  amounts to free advertising for the gun industry   ,0,1
36289,so powerful   a true must watch     ,0,2
36290,something has got to change in the u s         ,0,1
36293,thank you to  for allowing me to share my thoughts on my  speech    ,0,4
36294,thanks  for showing the commitments from      to further work to reduce    ,0,2
36295,thanks for the laughs today    ,0,2
36296,the feds don t fund research on     or trace guns in an searchable database  here s why   ,0,1
36297,this image begins to approximate the helplessness i ve been feeling about    ,0,1
36298,this is a sad reality       ,0,1
36299,this was happened because of  liberalised to licensing the guns  ,0,1
36300,thus  in terms of  we need to gear the convo towards safety   so much so that it becomes a buzzword that takes over the convo,0,1
36302,various people is bittersweet thymes is violet canada is tasty and so on   ,0,1
36303,virgnia governor   d  addresses importance of gun control as it s related to  and   ,0,2
36304,why   why        why do people need guns in their homes  this is devastating        ,0,2
36305,we must address the problem our nation has with   we ve ignored it for far too long already with disastrous consequences ,0,2
36306,we must end hatred   horrific dialogue that only attacks blames harms perpetuating rage  we must unite to end     ,0,2
36307,we need   in the       ,0,2
36308,we should stop calling people who have mental health issues  wackos        ,0,2
36310,who cares what  says  people  works for say  stop  we need    ,0,1
36312,new report   khalil mahl t hanzer   via  ,0,3
36313,report     via  ,0,4
36314,report   frank leo huner jr   via     ,0,2
36315,report   jimmy moore   via     ,0,3
36316,report   justice toran   via  ,0,4
36317,     are you serious with this bs or are you just plain stupid   ,0,1
36318, 2 3 of the  33 000  deaths in the us every year are     isn t one problem  it s many     ,0,1
36319, is a lot like   in that until something  big  and  newsy  happens it historically doesn t get a lot of interest,0,1
36320, airport shooting  how you can contact congress to discuss    via ,0,2
36324, in pine ridge is a  hot button issue    ,0,3
36325, passenger sent to hospital after 10 hours on    needs new rules       ,0,1
36328,      joined mayor martin tonight for a town hall on   ,0,2
36329,  trains people to respond to gunshot wounds in area plagued by   via    ,0,1
36330,1 516 mass shootings in 1 735 days  usa s gun crisis   in one chart        ,0,1
36331,   you left a terrible impression on chris hayes   you re also full of shit  i hope u lose     ,0,1
36334, note the priorities  no such grandstanding for victims of   or to call for help for   or to get water to  ,0,2
36335, that the  with the  93million  are lost 2  a day  comment    i ve heard some  shit  but that ,0,3
36337,  hey    its time for you to  about ,0,1
36338,  what s new at a tsu homecoming     ,0,3
36340, now might be a god time to delete this        ,0,2
36341, the republicans democrats need 2b courageous do what s best 4 the country  the world  as well as our children are watching  3  ,0,2
36342,    your prayers mean nothing  fix it    ,0,1
36344, every one of us can make the fight against  our fight   ,0,2
36345,        nearly 600 people injured  59 killed  but killer is dead  so let s just move on  justice is served  you re an ass     ,0,2
36346, while a moment of silence is thoughtful it does nothing to solve our countries excessive  ,0,1
36348,  deniers are a special wrong  it s one thing not to care about  victims  quite another to tell them they don t exist ,0,3
36349,a house divided        ,0,2
36350,all americans have a right to live free from   ,0,4
36351,an important look into the physical and mental trauma experienced by  survivors    ,0,3
36352,another ordinary day in amerian        and      two subjects we like to ignore ,0,1
36354,beware and  gop calls to  tamp down  anti trump criticism in wake of shooting      ,0,2
36356,chicago  out of control  we all must do our part to   join  to make a     ,0,3
36359,delete this post  shame on  for posting this right before the  mass shooting     ,0,1
36360,don t go talking about inconclusive research when nra   passes laws that prohibit the federal government from researching    ,0,1
36362,from tragedy to action  using media advocacy to advance  prevention legislation   via ,0,4
36363,good stuff here on  and  by one of my  l colleagues   ,0,4
36364,great dreamweeksa panel addressing the    thank you    ,0,1
36365,i share information because i want the discussion to happen  about      amendment,0,2
36367,imagine a minute of silence 4 each victim of  how many hours would we have remain in silence  enough is enough  ,0,1
36371,now   commemorates the  shooting      a catalyst for much of my  prevention work    mike feuer   ,0,4
36372,nailed it  yes  we ve become that inured to  we don t care who gets hurt killed        ,0,1
36373,never forget this   the nra s primary goal us to increase gun sales   ,0,1
36375,note the priorities  no such grandstanding for victims of   or to call for help for   or to get water to    ,0,2
36376,only when lawmakers get shot do they want the rhetoric  toned down       ,0,2
36377,other than car accidents  gun violence is the leading cause of death of people under 20   on ,0,2
36381,our politicians keep blocking gun research funding even though it s been labeled as an epidemic      ,0,1
36382,pretty flowers wanna be like cerise carnations is darkcyan burrito shoulda sour and so forth   ,0,2
36383,so frustrated no mention of insane  dv   tonite  why not invite   glad to see  but  ld    ,0,3
36385,sign petition to tell  to not award  for his cruel comments about  victims   ,0,4
36387,so sad that gop kills rule    instituted after sandy hook    to prevent mentally ill from obtaining guns      ,0,2
36388,store where  purchased firearms   and guitars  why not poison in the same store as candy    ,0,1
36390,that was pretty sad    especially for the families lost to              ,0,3
36391,the  exemplifies the horrific effects of   we must treat it as a public health issue  ,0,1
36393,the failure even to try to address  in america rests squarely at the feet of the gop  ,0,1
36395,the world has gone mad            how we can heal  praying hasn t worked,0,3
36399,westside  chicago           ,0,4
36400,what s behind   s surge in violence     ,0,2
36401,why is it that violent crimes like the  don t count to    he finds it more important to find a link w  radical     in the    how about talking about a way to  from    ,0,3
36402,why is passenger removed from united getting more media play than gunman shoots 8 year old dead in school  are we so numb to  ,0,3
36403,will responsible gun owners help find a solution to epidemic of  in u s   we talked about that   more    ,0,1
36404,you demotards screaming gun control  why don t you get angry over chicago   chicago has already toppled 400  murders this year    ,0,1
36406,new report   dominic moore jr   via     ,0,1
36407,new report   drake geithner   via  ,0,4
36408,report     via     ,0,1
36409,report   david furr   via  ,0,4
36410,report   john anthony vella   via     ,0,1
36411,  markruffalo  join the movement to end   we must fight for las vegas  text act to 64433  ,0,2
36412,  isn t enough to justify      ,0,1
36413, now third leading cause of death for us       ,0,3
36414, is a multi faceted issue  our approach to prevention should be as well     ,0,3
36418,    other dems urge  to renew funding for  research   ,0,2
36419,   is today too soon to talk about  ,0,1
36421,  will be in conversation w  on topic of  at cul 6 22 6 30 8pm  rsvp culconnect org  ,0,2
36423,23 reasons why the nra is functionally racist    ,0,1
36424,500  people just like   58 who did not survive today s   congress  response     ,0,1
36426, matching donations to stop  give now     for president 2020  ,0,1
36427, thanks    you had a statement on   so how about one on   your constituents want to hear you  ,0,1
36428, you should know better   restrictions are necessary    ,0,1
36429, but not committed to protecting americans from     is outofcontrol      ,0,1
36430, why didn t you make that  all of us  speech when gabby got shot  cuz only right white matters    ,0,2
36431, meanwhile trump golfing after long wk undermining civil rights neglecting hurricane victims attacking womens health   ignoring ,0,1
36432,  also missed by    levels of  mortality are on the low side by us stds     ,0,2
36433,  itself is the terror in america,0,4
36434, all democratic party members should pledge to reject all nra money       ,0,2
36436,    your president incites violence ,0,2
36438,aba and  to host program on preventing  tomorrow in     ,0,1
36440,after   refuses to talk   nevadans speak out   demand action    ,0,1
36441,an intiative to end gun violence         ,0,2
36442,and another     ,0,4
36443,arm yourself with facts on  in america  knowledge is power        ,0,1
36445,as usual  mercia is going in the wrong direction   ,0,1
36446,ask  moc please look at  as national health crisis national security risk it is      ,0,1
36448,average number of guns per owner has increased from 4 1 in 1994 to 6 9 in 2004 and rising    ,0,1
36449,ballon tamponade works for   in         ,0,1
36450,check the stats  the vast majority      in  are caused by      ,0,2
36451,continuos prayers      for the victims of the  shooting  in order to stop  you have to  ,0,1
36455,fact  north korea is a war waiting to happen  alternative fact  chicago is a war already happening      ,0,4
36460,great piece on fear   violence in america for  give it a read  rt        ,0,2
36461,gun bills advance in  senate  gun rights supporters won   lost     mt   ,0,1
36465,hey  thanks for the follow we ll demand    address  via  ,0,1
36466,hey  thanks for the follow we ll demand    address  via  ,0,1
36467,i always knew that one day  would hit washington     ,0,2
36468,i always thought this was a good compromise  protecting 2nd amendment rights  while offering some protection against  as well   ,0,1
36469,i see glimpses of she who was before    i am learning to  she who is   forever changed is right  i can learn to   her too   ,0,2
36471,it has been 2 years since chicago went a day without shootings   via   ,0,4
36472,it s a shame that     still hasn t acknowledged the recent victims of   so much for all that  law   order ,0,2
36475,just hit the  chapter of        ,0,1
36476,let it be known that all mass shooters have one thing in common  easy access to guns   has got to   ,0,2
36477,let us all remember that  rolled back obama s gun legislation after sandyhook    ,0,2
36478,like many parts of american life  violent crime is still largely segregated      ,0,3
36479,mass shootings have changed the way we think        ,0,4
36480,myvtears just flow these days when i think about my city  our kids don t stand a chance    ,0,2
36481,new wa gun law aims to protect abuse victims        ,0,3
36482,no more delays to having discussion about  by those rules can t discuss guns race gender religion norms rules ,0,2
36485,one  that puts  s     ,0,1
36486,one  that puts  s  epidemic in perspective   vox  ,0,1
36487,people have the right to live free from gun violence   1 2   ,0,1
36489,saying that  is non partisan doesn t mean the banana republicans are going to stop sucking the hind teat of the nra   ,0,2
36491,senator  from my home state of connecticut makes me proud  continuing to speak truth on   ,0,1
36492,sign petition  are not enough  we need  now      4eva ,0,1
36493,so sad  in 1 day mr paddock killed enough people to make boko haram envious  america   is a public health issue ,0,1
36495,this stat is non partisan   is killing thousands of our kids every year   via   ,0,2
36496,thank you for your consistent stand on          ,0,2
36498,the nra is urging congress to challenge a  for the mentally ill  but always blames them for      ,0,4
36499,the truth about gun violence     via    ,0,2
36500,the answer to  is not arming every man  woman and child in america  more guns kill more victims     ,0,2
36502,the latest the cyber chronicle     ,0,2
36503,the news from las vegas is heartbreaking    ,0,1
36504,these politicians are the reason your loved ones are no longer here      ,0,1
